SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,August-31-2020,Single Family Residential,3631 241st Ave SE,Sammamish,WA,98029,1000000,3,2.5,Sammamish,2510,14342,1990,43,398,12,Sold,,,http://www.redfin.com/WA/Issaquah/3631-241st-Ave-SE-98029/home/436844,NWMLS,1635299,N,Y,47.5759705,-122.0193575
PAST SALE,July-31-2020,Single Family Residential,9341 SE 46th St,Mercer Island,WA,98040,1398000,5,3,Ellis Pond,3380,19543,1976,74,414,,Sold,,,http://www.redfin.com/WA/Mercer-Island/9341-SE-46th-St-98040/home/256559,NWMLS,1627757,N,Y,47.5627699,-122.2129116
PAST SALE,August-20-2020,Condo/Co-op,12728 NE 144th St Unit F201,Kirkland,WA,98034,340000,2,1.75,The Ridge,935,,1983,54,364,303,Sold,,,http://www.redfin.com/WA/Kirkland/12728-NE-144th-St-98034/unit-F201/home/26393,NWMLS,1628594,N,Y,47.7312684,-122.1703059
PAST SALE,July-20-2020,Single Family Residential,6406 35th St NE,Marysville,WA,98270,440000,4,2.5,Marysville,1591,5663,2010,85,277,44,Sold,,,http://www.redfin.com/WA/Marysville/6406-35th-St-NE-98270/home/39951396,NWMLS,1616084,N,Y,48.0278465,-122.144655
PAST SALE,July-17-2020,Single Family Residential,8314 Granite Dr NW,Gig Harbor,WA,98329,647500,4,2.75,Gig Harbor,2300,12880,1988,88,282,50,Sold,,,http://www.redfin.com/WA/Gig-Harbor/8314-Granite-Dr-NW-98329/home/2789664,NWMLS,1615226,N,Y,47.3803083,-122.6500112
PAST SALE,July-16-2020,Townhouse,2634 SW Myrtle St,Seattle,WA,98106,510000,2,2.25,High Point,1592,1328,2008,89,320,190,Sold,,,http://www.redfin.com/WA/Seattle/2634-SW-Myrtle-St-98106/home/12090381,NWMLS,1594942,N,Y,47.539347,-122.367635
PAST SALE,August-18-2020,Single Family Residential,7302 51st St W,University Place,WA,98467,492500,4,2.25,University Place,2015,3523,2010,56,244,19,Sold,,,http://www.redfin.com/WA/University-Place/7302-51st-St-W-98467/home/25690459,NWMLS,1631274,N,Y,47.210075,-122.536164
PAST SALE,August-28-2020,Condo/Co-op,28313 Redondo Way S #210,Des Moines,WA,98198,400000,3,1.75,Redondo,1687,,1978,46,237,638,Sold,,,http://www.redfin.com/WA/Des-Moines/28313-Redondo-Way-S-98198/unit-210/home/11049,NWMLS,1586132,N,Y,47.3477366,-122.3222753
PAST SALE,August-3-2020,Single Family Residential,2640 S 309th St,Federal Way,WA,98003,441000,4,1.75,Steel Lake,1640,12384,1954,71,269,,Sold,,,http://www.redfin.com/WA/Federal-Way/2640-S-309th-St-98003/home/205392,NWMLS,1627625,N,Y,47.3256517,-122.2977627
PAST SALE,July-31-2020,Single Family Residential,333 Barry Lp,Mount Vernon,WA,98274,485000,5,2.5,Mount Vernon,3105,6534,2013,74,156,50,Sold,,,http://www.redfin.com/WA/Mt-Vernon/333-Barry-Loop-98274/home/28918273,NWMLS,1617699,N,Y,48.4183273,-122.294201
PAST SALE,August-28-2020,Townhouse,133 25th Ave E Unit A,Seattle,WA,98112,850000,3,2.25,Madison Valley,1736,1501,2013,46,490,,Sold,,,http://www.redfin.com/WA/Seattle/133-25th-Ave-E-98112/unit-A/home/148236,NWMLS,1603399,N,Y,47.6199405,-122.3002797
PAST SALE,July-15-2020,Single Family Residential,7307 Thompson Ave SE,Snoqualmie,WA,98065,658750,3,2.5,Snoqualmie Ridge,1760,3761,2000,90,374,28,Sold,,,http://www.redfin.com/WA/Snoqualmie/7307-Thompson-Ave-SE-98065/home/468397,NWMLS,1613768,N,Y,47.535346,-121.8767565
PAST SALE,July-30-2020,Single Family Residential,20842 102nd Pl SE,Kent,WA,98031,547000,4,2.75,Kent,2240,7019,1989,75,244,15,Sold,,,http://www.redfin.com/WA/Kent/20842-102nd-Pl-SE-98031/home/385904,NWMLS,1618449,N,Y,47.4148105,-122.2039362
PAST SALE,August-31-2020,Single Family Residential,1253 Blaine Ave NE,Renton,WA,98056,650000,3,2.25,Kennydale,1590,7438,1994,43,409,,Sold,,,http://www.redfin.com/WA/Renton/1253-Blaine-Ave-NE-98056/home/412220,NWMLS,1634508,N,Y,47.5037859,-122.1894486
PAST SALE,August-11-2020,Single Family Residential,14258 122nd Ave NE,Kirkland,WA,98034,799000,4,2.5,Kingsgate,1978,7875,1967,63,404,54,Sold,,,http://www.redfin.com/WA/Kirkland/14258-122nd-Ave-NE-98034/home/453813,NWMLS,1626318,N,Y,47.7295203,-122.1778681
PAST SALE,July-17-2020,Single Family Residential,16 R Pl NE,Auburn,WA,98002,392500,3,1.75,East Auburn,1340,7473,1973,88,293,,Sold,,,http://www.redfin.com/WA/Auburn/16-R-Pl-NE-98002/home/219574,NWMLS,1616040,N,Y,47.3087465,-122.2062392
PAST SALE,August-10-2020,Townhouse,12508 28th Ave W #5,Everett,WA,98204,500000,4,2.5,Everett,2114,2840,2008,64,237,39,Sold,,,http://www.redfin.com/WA/Everett/12508-28th-Ave-W-98204/unit-5/home/12488812,NWMLS,1599767,N,Y,47.8846469,-122.2718481
PAST SALE,July-22-2020,Single Family Residential,127 100th St Ct E,Tacoma,WA,98445,352000,3,2.25,Tacoma,1444,8443,1995,83,244,20,Sold,,,http://www.redfin.com/WA/Tacoma/127-100th-St-Ct-E-98445/home/2866691,NWMLS,1614051,N,Y,47.1663101,-122.4296676
PAST SALE,August-31-2020,Condo/Co-op,11629 100th Ave NE Unit 9C,Kirkland,WA,98034,350000,2,1,Juanita,920,,1977,43,380,330,Sold,,,http://www.redfin.com/WA/Kirkland/11629-100th-Ave-NE-98034/unit-9C/home/1930,NWMLS,1626439,N,Y,47.7049551,-122.209204
PAST SALE,July-20-2020,Townhouse,13235 101st Ln NE,Kirkland,WA,98034,649500,3,2.5,North Juanita,1830,1392,2008,85,355,125,Sold,,,http://www.redfin.com/WA/Kirkland/13235-101st-Ln-NE-98034/home/59703449,NWMLS,1611252,N,Y,47.7191483,-122.2062757
PAST SALE,August-31-2020,Single Family Residential,15 176th Pl SW,Bothell,WA,98012,805000,5,3.25,Martha Lake,3307,4356,2017,43,243,56,Sold,,,http://www.redfin.com/WA/Bothell/15-176th-Pl-SW-98012/home/114088620,NWMLS,1642800,N,Y,47.8381683,-122.2333762
PAST SALE,August-20-2020,Townhouse,8316 175th St E,Puyallup,WA,98375,335000,2,2.25,Frederickson,1552,1820,2018,54,216,100,Sold,,,http://www.redfin.com/WA/Puyallup/8316-175th-St-E-98375/home/106418735,NWMLS,1634934,N,Y,47.0972753,-122.3187532
PAST SALE,September-4-2020,Single Family Residential,4013 24th Pl S,Seattle,WA,98108,1110000,4,3.5,Seattle,2380,5000,1948,39,466,,Sold,,,http://www.redfin.com/WA/Seattle/4013-24th-Pl-S-98108/home/168622,NWMLS,1641428,N,Y,47.5678968,-122.3016827
PAST SALE,September-4-2020,Townhouse,4606 170th Pl NE #14,Redmond,WA,98052,680000,3,1.75,Marymoor,1816,,1974,39,374,555,Sold,,,http://www.redfin.com/WA/Redmond/4606-170th-Pl-NE-98052/unit-14/home/56111,NWMLS,1590481,N,Y,47.6508041,-122.1125661
PAST SALE,July-29-2020,Single Family Residential,19806 8th Ave SE,Bothell,WA,98012,530000,3,2,Bothell,1524,10890,1985,76,348,,Sold,,,http://www.redfin.com/WA/Bothell/19806-8th-Ave-SE-98012/home/2806280,NWMLS,1616330,N,Y,47.8186104,-122.2209467
PAST SALE,September-4-2020,Single Family Residential,13215 125th Ave NE,Kirkland,WA,98034,758800,3,1.5,Kirkland,1430,7210,1970,39,531,,Sold,,,http://www.redfin.com/WA/Kirkland/13215-125th-Ave-NE-98034/home/455840,NWMLS,1639862,N,Y,47.7191678,-122.1739749
PAST SALE,September-10-2020,Single Family Residential,1704 Cypress Ct,Milton,WA,98354,393000,3,1.75,Milton,1250,9500,1983,33,314,,Sold,,,http://www.redfin.com/WA/Milton/1704-Cypress-Ct-98354/home/366423,NWMLS,1633690,N,Y,47.2586592,-122.3108626
PAST SALE,September-11-2020,Condo/Co-op,3315 Rockefeller Ave #2,Everett,WA,98201,309000,3,2,Everett,1336,,2005,32,231,360,Sold,,,http://www.redfin.com/WA/Everett/3315-Rockefeller-Ave-98201/unit-2/home/11884722,NWMLS,1627486,N,Y,47.973343,-122.2051535
PAST SALE,July-20-2020,Single Family Residential,3818 100th St,Gig Harbor,WA,98332,415000,2,1.75,Peacock Hill,1318,3874,1998,85,315,100,Sold,,,http://www.redfin.com/WA/Gig-Harbor/3818-100th-St-98332/home/2806868,NWMLS,1613998,N,Y,47.349224,-122.590414
PAST SALE,August-12-2020,Single Family Residential,6815 Bovee Ln,Arlington,WA,98223,430000,3,2.5,Edgecomb,1633,8712,2003,62,263,25,Sold,,,http://www.redfin.com/WA/Arlington/6815-Bovee-Ln-98223/home/2897142,NWMLS,1630686,N,Y,48.1589853,-122.1384578
PAST SALE,August-7-2020,Single Family Residential,23222 92nd Ave W,Edmonds,WA,98020,555000,2,1.5,Edmonds,1219,13068,1935,67,455,,Sold,,,http://www.redfin.com/WA/Edmonds/23222-92nd-Ave-W-98020/home/2638624,NWMLS,1619207,N,Y,47.7879989,-122.3563149
PAST SALE,July-30-2020,Single Family Residential,585 Mountain Cir,Buckley,WA,98321,499950,3,2,Buckley,1899,9508,2005,75,263,15,Sold,,,http://www.redfin.com/WA/Buckley/585-Mountain-Cir-Dr-98321/home/3033122,NWMLS,1608402,N,Y,47.1675798,-122.028325
PAST SALE,October-1-2020,Condo/Co-op,5450 Leary Ave NW #240,Seattle,WA,98107,422000,1,1,Seattle,717,,2007,12,589,347,Sold,,,http://www.redfin.com/WA/Seattle/5450-Leary-Ave-NW-98107/unit-240/home/22709091,NWMLS,1638687,N,Y,47.6680741,-122.3831385
PAST SALE,September-17-2020,Condo/Co-op,1614 Summit Ave Unit S205,Seattle,WA,98122,270000,0,1,Capitol Hill,445,,1990,26,607,279,Sold,,,http://www.redfin.com/WA/Seattle/1614-Summit-Ave-98122/unit-S205/home/71423,NWMLS,1642936,N,Y,47.6159184,-122.325214
PAST SALE,September-10-2020,Single Family Residential,8826 10th Ave SW,Seattle,WA,98106,566500,3,1,Highland Park,1310,4760,1965,33,432,,Sold,,,http://www.redfin.com/WA/Seattle/8826-10th-Ave-SW-98106/home/476426,NWMLS,1637270,N,Y,47.5238612,-122.347669
PAST SALE,October-5-2020,Single Family Residential,12818 69th Dr SE,Snohomish,WA,98296,655000,4,2.5,Snohomish Cascade,2088,4356,2002,8,314,37,Sold,,,http://www.redfin.com/WA/Snohomish/12818-69th-Dr-SE-98296/home/2886986,NWMLS,1652425,N,Y,47.8799929,-122.1380952
PAST SALE,October-7-2020,Single Family Residential,5722 173rd Pl SW,Lynnwood,WA,98037,650000,4,2.25,Lynnwood,1943,8276,1966,6,335,,Sold,,,http://www.redfin.com/WA/Lynnwood/5722-173rd-Pl-SW-98037/home/2750570,NWMLS,1656865,N,Y,47.8413338,-122.3111305
PAST SALE,July-27-2020,Single Family Residential,18721 13th Dr SE,Bothell,WA,98012,795000,4,2.5,Bothell,3034,6098,2005,78,262,30,Sold,,,http://www.redfin.com/WA/Bothell/18721-13th-Dr-SE-98012/home/2910616,NWMLS,1611197,N,Y,47.8277999,-122.2136942
PAST SALE,October-5-2020,Single Family Residential,3257 25th Ave W,Seattle,WA,98199,999000,3,2.5,Magnolia,2360,4320,1990,8,423,,Sold,,,http://www.redfin.com/WA/Seattle/3257-25th-Ave-W-98199/home/124123,NWMLS,1645066,N,Y,47.6501654,-122.3889038
PAST SALE,August-28-2020,Single Family Residential,12713 3rd Ave NE,Tulalip,WA,98271,735000,3,2.25,Tulalip,2694,43560,2006,46,273,60,Sold,,,http://www.redfin.com/WA/Tulalip/12713-3rd-Ave-NE-98271/home/11881161,NWMLS,1641131,N,Y,48.1114055,-122.2253888
PAST SALE,July-23-2020,Single Family Residential,25114 116th Ave SE,Kent,WA,98030,422500,3,1.75,Kent,2080,7200,1947,82,203,,Sold,,,http://www.redfin.com/WA/Kent/25114-116th-Ave-SE-98030/home/401381,NWMLS,1613569,N,Y,47.3765649,-122.1864294
PAST SALE,July-24-2020,Townhouse,14631 NE 35th St Unit B16,Bellevue,WA,98007,467000,2,1.5,Microsoft,1131,,1979,81,413,402,Sold,,,http://www.redfin.com/WA/Bellevue/14631-NE-35th-St-98007/unit-B16/home/171918251,NWMLS,1606669,N,Y,47.6413866,-122.1450644
PAST SALE,October-6-2020,Single Family Residential,875 SW Cedarglade Dr,Issaquah,WA,98027,710000,3,1,Squak Mountain,1660,13758,1965,7,428,,Sold,,,http://www.redfin.com/WA/Issaquah/875-SW-Cedarglade-Dr-98027/home/421508,NWMLS,1657466,N,Y,47.5228842,-122.0510073
PAST SALE,September-3-2020,Townhouse,7113 Hazel Pl SE,Auburn,WA,98092,435000,3,2.25,Bonney Lake,1783,6547,2007,40,244,455,Sold,,,http://www.redfin.com/WA/Auburn/7113-Hazel-St-SE-98092/home/22054669,NWMLS,1630013,N,Y,47.242756,-122.217093
